30726175,FLING S,CHURCH C,RAMCHURREN N
21849977,FLING S
18835160,FLING S
19729618,FLING S
15879143,FLING S
23468492,FLING S
15557186,FLING S
12077265,FLING S
14568950,FLING S
29037149,FONG Y,GILBERT P,HUANG Y
30899120,FONG Y,HUANG Y
27858965,FONG Y,GILBERT P,HUANG Y
30590447,FONG Y,LEMOS M,HUANG Y
31462887,FONG Y
31589165,FONG Y,JANES H,COREY L,DECAMP A,GILBERT P,LI S
24918306,FONG Y,DE R
31204101,LI S,FONG Y
23926226,FONG Y,GILBERT P
28968816,FONG Y,LEMOS M,HUANG Y
25532524,FONG Y
26180102,DECAMP A,FONG Y,GILBERT P
27058981,FONG Y,HUANG Y
29206722,FONG Y
27642502,FONG Y
26053661,PARKS R,GAO F,FONG Y,GILBERT P
31276477,FONG Y
31274537,FONG Y
29194547,FONG Y,JURASKA M,GILBERT P,HUANG Y
25612253,FONG Y
31117986,FONG Y,JURASKA M,GILBERT P
23658446,FONG Y,GILBERT P
22475592,DE R,FONG Y,JANES H,DECAMP A,GILBERT P,HUANG Y
31434737,FONG Y,JANES H,DECAMP A,GILBERT P,LI S
24671939,WALD A,FONG Y,SCHIFFER J,MAYER B
24648342,DECAMP A,FONG Y,GILBERT P
29490026,FONG Y
37274811,FONG Y
29479861,FONG Y
29463233,FONG Y
31609927,FONG Y
31115304,FONG Y,JURASKA M,GILBERT P,HUANG Y
22021938,FONG Y,HUANG Y
24554666,FONG Y,COREY L,JOHNSTON C,WALD A,ZHU J
29021402,FONG Y,GRAY G
24504509,DECAMP A,FONG Y,GILBERT P,PARKS R
12077420,FONG Y
29325070,DECAMP A,GILBERT P,FONG Y,JANES H
22626638,FONG Y,DE R
23661056,GILBERT P,FONG Y,PARKS R
31215662,FONG Y
23631706,FONG Y
25389306,DONNELL D,FONG Y,HUGHES J
19966070,FONG Y
25268493,FONG Y,LEMOS M
16968818,FONG Y
25124089,FONG Y,HUANG Y
24078859,FONG Y
25648332,FONG Y,GILBERT P
19696187,FONG Y
31555284,FORD E
19532052,FORD E
23532479,LI X,FORD E
20505494,FORD E
28387523,FORD E
30289810,WALD A,FORD E,COREY L
20739488,FORD E
