PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33378609","Efficacy and Safety of the mRNA-1273 SARS-CoV-2 Vaccine","Baden LR, El Sahly HM, Essink B, Kotloff K, Frey S, Novak R, Diemert D, Spector SA, Rouphael N, Creech CB, McGettigan J, Khetan S, Segall N, Solis J, Brosz A, Fierro C, Schwartz H, Neuzil K, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Mascola J, Polakowski L, Ledgerwood J, Graham BS, Bennett H, Pajon R, Knightly C, Leav B, Deng W, Zhou H, Han S, Ivarsson M, Miller J, Zaks T; COVE Study Group.","N Engl J Med. 2021 Feb 4;384(5):403-416. doi: 10.1056/NEJMoa2035389. Epub 2020 Dec 30.","Baden LR","N Engl J Med","2021","2020/12/30","PMC7787219","","10.1056/NEJMoa2035389"
"34551225","Efficacy of the mRNA-1273 SARS-CoV-2 Vaccine at Completion of Blinded Phase","El Sahly HM, Baden LR, Essink B, Doblecki-Lewis S, Martin JM, Anderson EJ, Campbell TB, Clark J, Jackson LA, Fichtenbaum CJ, Zervos M, Rankin B, Eder F, Feldman G, Kennelly C, Han-Conrad L, Levin M, Neuzil KM, Corey L, Gilbert P, Janes H, Follmann D, Marovich M, Polakowski L, Mascola JR, Ledgerwood JE, Graham BS, August A, Clouting H, Deng W, Han S, Leav B, Manzo D, Pajon R, Schödel F, Tomassini JE, Zhou H, Miller J; COVE Study Group.","N Engl J Med. 2021 Nov 4;385(19):1774-1785. doi: 10.1056/NEJMoa2113017. Epub 2021 Sep 22.","El Sahly HM","N Engl J Med","2021","2021/09/22","PMC8482810","NIHMS1743941","10.1056/NEJMoa2113017"
"36166517","Brief Report: Performance of Tuberculosis Symptom Screening Among Hospitalized ART-Naive Children With HIV in Kenya","Cranmer LM, Njuguna IN, LaCourse SM, Figueroa J, Gillespie S, Maleche-Obimbo E, Otieno V, Mugo C, Okinyi H, Benki-Nugent S, Pavlinac PB, Malik AA, Gandhi NR, Richardson BA, Stern J, Wamalwa DC, John-Stewart GC.","J Acquir Immune Defic Syndr. 2022 Nov 1;91(3):280-284. doi: 10.1097/QAI.0000000000003060.","Cranmer LM","J Acquir Immune Defic Syndr","2022","2022/09/27","PMC9588620","NIHMS1823316","10.1097/QAI.0000000000003060"
"28070282","The database of the PREDICTS (Projecting Responses of Ecological Diversity In Changing Terrestrial Systems) project","Hudson LN, Newbold T, Contu S, Hill SL, Lysenko I, De Palma A, Phillips HR, Alhusseini TI, Bedford FE, Bennett DJ, Booth H, Burton VJ, Chng CW, Choimes A, Correia DL, Day J, Echeverría-Londoño S, Emerson SR, Gao D, Garon M, Harrison ML, Ingram DJ, Jung M, Kemp V, Kirkpatrick L, Martin CD, Pan Y, Pask-Hale GD, Pynegar EL, Robinson AN, Sanchez-Ortiz K, Senior RA, Simmons BI, White HJ, Zhang H, Aben J, Abrahamczyk S, Adum GB, Aguilar-Barquero V, Aizen MA, Albertos B, Alcala EL, Del Mar Alguacil M, Alignier A, Ancrenaz M, Andersen AN, Arbeláez-Cortés E, Armbrecht I, Arroyo-Rodríguez V, Aumann T, Axmacher JC, Azhar B, Azpiroz AB, Baeten L, Bakayoko A, Báldi A, Banks JE, Baral SK, Barlow J, Barratt BI, Barrico L, Bartolommei P, Barton DM, Basset Y, Batáry P, Bates AJ, Baur B, Bayne EM, Beja P, Benedick S, Berg Å, Bernard H, Berry NJ, Bhatt D, Bicknell JE, Bihn JH, Blake RJ, Bobo KS, Bóçon R, Boekhout T, Böhning-Gaese K, Bonham KJ, Borges PA, Borges SH, Boutin C, Bouyer J, Bragagnolo C, Brandt JS, Brearley FQ, Brito I, Bros V, Brunet J, Buczkowski G, Buddle CM, Bugter R, Buscardo E, Buse J, Cabra-García J, Cáceres NC, Cagle NL, et al.","Ecol Evol. 2016 Dec 16;7(1):145-188. doi: 10.1002/ece3.2579. eCollection 2017 Jan.","Hudson LN","Ecol Evol","2016","2017/01/11","PMC5215197","","10.1002/ece3.2579"
"25558364","The PREDICTS database: a global database of how local terrestrial biodiversity responds to human impacts","Hudson LN, Newbold T, Contu S, Hill SL, Lysenko I, De Palma A, Phillips HR, Senior RA, Bennett DJ, Booth H, Choimes A, Correia DL, Day J, Echeverría-Londoño S, Garon M, Harrison ML, Ingram DJ, Jung M, Kemp V, Kirkpatrick L, Martin CD, Pan Y, White HJ, Aben J, Abrahamczyk S, Adum GB, Aguilar-Barquero V, Aizen MA, Ancrenaz M, Arbeláez-Cortés E, Armbrecht I, Azhar B, Azpiroz AB, Baeten L, Báldi A, Banks JE, Barlow J, Batáry P, Bates AJ, Bayne EM, Beja P, Berg Å, Berry NJ, Bicknell JE, Bihn JH, Böhning-Gaese K, Boekhout T, Boutin C, Bouyer J, Brearley FQ, Brito I, Brunet J, Buczkowski G, Buscardo E, Cabra-García J, Calviño-Cancela M, Cameron SA, Cancello EM, Carrijo TF, Carvalho AL, Castro H, Castro-Luna AA, Cerda R, Cerezo A, Chauvat M, Clarke FM, Cleary DF, Connop SP, D'Aniello B, da Silva PG, Darvill B, Dauber J, Dejean A, Diekötter T, Dominguez-Haydar Y, Dormann CF, Dumont B, Dures SG, Dynesius M, Edenius L, Elek Z, Entling MH, Farwig N, Fayle TM, Felicioli A, Felton AM, Ficetola GF, Filgueiras BK, Fonte SJ, Fraser LH, Fukuda D, Furlani D, Ganzhorn JU, Garden JG, Gheler-Costa C, Giordani P, Giordano S, Gottschalk MS, Goulson D, Gove AD, et al.","Ecol Evol. 2014 Dec;4(24):4701-35. doi: 10.1002/ece3.1303. Epub 2014 Dec 2.","Hudson LN","Ecol Evol","2014","2015/01/06","PMC4278822","","10.1002/ece3.1303"
"27859200","Terrestrial support of aquatic food webs depends on light inputs: a geographically-replicated test using tank bromeliads","Farjalla VF, González AL, Céréghino R, Dézerald O, Marino NA, Piccoli GC, Richardson BA, Richardson MJ, Romero GQ, Srivastava DS.","Ecology. 2016 Aug;97(8):2147-2156. doi: 10.1002/ecy.1432.","Farjalla VF","Ecology","2016","2016/11/19","","","10.1002/ecy.1432"
"26240864","Dominant predators mediate the impact of habitat size on trophic structure in bromeliad invertebrate communities","Petermann JS, Farjalla VF, Jocque M, Kratina P, MacDonald AA, Marino NA, De Omena PM, Piccoli GC, Richardson BA, Richardson MJ, Romero GQ, Videla M, Srivastava DS.","Ecology. 2015 Feb;96(2):428-39. doi: 10.1890/14-0304.1.","Petermann JS","Ecology","2015","2015/08/05","","","10.1890/14-0304.1"
