PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"29197389","Foamy virus zoonotic infections","Pinto-Santini DM, Stenbak CR, Linial ML.","Retrovirology. 2017 Dec 2;14(1):55. doi: 10.1186/s12977-017-0379-9.","Pinto-Santini DM","Retrovirology","2017","2017/12/04","PMC5712078","","10.1186/s12977-017-0379-9"
"19914359","Analysis of ribosomal RNA transcription termination and 3' end processing in Leishmania amazonensis","Abreu-Blanco MT, Ramírez JL, Pinto-Santini DM, Papadopoulou B, Guevara P.","Gene. 2010 Feb 1;451(1-2):15-22. doi: 10.1016/j.gene.2009.11.002. Epub 2009 Nov 12.","Abreu-Blanco MT","Gene","2010","2009/11/17","","","10.1016/j.gene.2009.11.002"
"17101654","Identification of Helicobacter pylori genes that contribute to stomach colonization","Baldwin DN, Shepherd B, Kraemer P, Hall MK, Sycuro LK, Pinto-Santini DM, Salama NR.","Infect Immun. 2007 Feb;75(2):1005-16. doi: 10.1128/IAI.01176-06. Epub 2006 Nov 13.","Baldwin DN","Infect Immun","2007","2006/11/15","PMC1828534","","10.1128/IAI.01176-06"
"16518391","Coordination of microtubule and microfilament dynamics by Drosophila Rho1, Spire and Cappuccino","Rosales-Nieves AE, Johndrow JE, Keller LC, Magie CR, Pinto-Santini DM, Parkhurst SM.","Nat Cell Biol. 2006 Apr;8(4):367-76. doi: 10.1038/ncb1385. Epub 2006 Mar 5.","Rosales-Nieves AE","Nat Cell Biol","2006","2006/03/07","PMC1997291","NIHMS23545","10.1038/ncb1385"
"19801411","Cag3 is a novel essential component of the Helicobacter pylori Cag type IV secretion system outer membrane subcomplex","Pinto-Santini DM, Salama NR.","J Bacteriol. 2009 Dec;191(23):7343-52. doi: 10.1128/JB.00946-09. Epub 2009 Oct 2.","Pinto-Santini DM","J Bacteriol","2009","2009/10/06","PMC2786551","","10.1128/JB.00946-09"
