PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22848738","A novel HIV vaccine adjuvanted by IC31 induces robust and persistent humoral and cellular immunity","Pattacini L, Mize GJ, Graham JB, Fluharty TR, Graham TM, Lingnau K, Wizel B, Perdiguero B, Esteban M, Pantaleo G, Shen M, Spies GA, McElrath MJ, Lund JM.","PLoS One. 2012;7(7):e42163. doi: 10.1371/journal.pone.0042163. Epub 2012 Jul 25.","Pattacini L","PLoS One","2012","2012/08/01","PMC3405041","","10.1371/journal.pone.0042163"
"28199679","Higher T-Cell Responses Induced by DNA/rAd5 HIV-1 Preventive Vaccine Are Associated With Lower HIV-1 Infection Risk in an Efficacy Trial","Janes HE, Cohen KW, Frahm N, De Rosa SC, Sanchez B, Hural J, Magaret CA, Karuna S, Bentley C, Gottardo R, Finak G, Grove D, Shen M, Graham BS, Koup RA, Mulligan MJ, Koblin B, Buchbinder SP, Keefer MC, Adams E, Anude C, Corey L, Sobieszczyk M, Hammer SM, Gilbert PB, McElrath MJ.","J Infect Dis. 2017 May 1;215(9):1376-1385. doi: 10.1093/infdis/jix086.","Janes HE","J Infect Dis","2017","2017/02/16","PMC5853653","","10.1093/infdis/jix086"
"12160299","PEO-like plasma polymerized tetraglyme surface interactions with leukocytes and proteins: in vitro and in vivo studies","Shen M, Martinson L, Wagner MS, Castner DG, Ratner BD, Horbett TA.","J Biomater Sci Polym Ed. 2002;13(4):367-90. doi: 10.1163/156856202320253910.","Shen M","J Biomater Sci Polym Ed","2002","2002/08/06","","","10.1163/156856202320253910"
"15307157","Effects of adsorbed proteins and surface chemistry on foreign body giant cell formation, tumor necrosis factor alpha release and procoagulant activity of monocytes","Shen M, Garcia I, Maier RV, Horbett TA.","J Biomed Mater Res A. 2004 Sep 15;70(4):533-41. doi: 10.1002/jbm.a.30069.","Shen M","J Biomed Mater Res A","2004","2004/08/13","","","10.1002/jbm.a.30069"
"12160301","Limits of detection for time of flight secondary ion mass spectrometry (ToF-SIMS) and X-ray photoelectron spectroscopy (XPS): detection of low amounts of adsorbed protein","Wagner MS, McArthur SL, Shen M, Horbett TA, Castner DG.","J Biomater Sci Polym Ed. 2002;13(4):407-28. doi: 10.1163/156856202320253938.","Wagner MS","J Biomater Sci Polym Ed","2002","2002/08/06","","","10.1163/156856202320253938"
